,SHNECKO,STEPHISCOLD,RUSSELL BRAND,TOM SCOTT,NOAH SAMSEN
627,i see you everywhere with the same exact shit,,i would like to see someone talk about the fluoride in the water supplys everywhere in world,so smooth everytnice tutorialng he says goes into my brain and sticks in,so now u keep coming up on my feed because i watched isaac do a response on your response of him i am only 2 minutes into your video so i probably should watch more before i write something but i m really sick atm so i probably won t watch much more of this video so todd i want to know why it s cool to speak poorly about males u don t knoah anything about except a short video clip of yes that was a lame joke but probably better than todd s when isaac speaks out about people eating themselves to death that is a good cause body positivity is good for people that can t change what they are stuck born with not for people that are purposely giving themselves heart attacks and diabetes just like in reverse being anorexic is also very bad i think it s because your either two things it s because when isaac spoke on woman your possibly so far left that u have came around to the right side without even realizing it or u think u will get viewers money possibly puss if that s what your even into for following the p c culture i think this is the 2nd or 3rd video i have seen of u and all i can say is p c is bad for business then knoah one will want to watch but good luck with your channel and if u want to try and change the world u need to speak on there level and let them decide for themselves to change in my opinon i don t really think u do want to change the world for the best i think u just want money or clout and i do hope if u make it that u don t find yourself lonely at the top because that s where alot of people find themself when they reach that spot people may need to watch isaac butterfield to understand what im talking about and why i m calling him todd
628,thank you for ur positive comforting words,,been watching jordan for 2 years and just came across russell about 3 months ago as a female i find both truly amazing people that can help in a new and productive way to express understand masculinity i am raising my boys as a single mom to have healthy masculinity in that they don t feel obligated to follow old patterns beliefs they can mow a lawn split wood and do their own laundry and dishes lol,what are our options for trapping and killing the carp,lol racist much his australian and i do like his belief even if people don t understand how he explains himself i was once very under weight and got alot of judgment over it i won t go to deep into it but it made me workout and over eat to not be seen in that light by about a year after i became over weight for my height i thought i was only having anxiety but when i finally went to the doctors they informed me that i was having angina attacks that were turning into mini heart attacks i was very lucky to get this information in time so i could change my eating habits after about another 12 months this had changed me for the best i felt great and now am able to spend more time with my children without having a heart attack and dying on them it s a great message and just because i want to eat crappy foods shouldn t fall on the out come of my loved ones if me liking this message means i m simping for isaac then i m a simp lol
629,ur everywhere,,you re missing a piece and that is approval,because as citizens were just the governments guinea pigs,are you simping for the fat shaming kiwi
630,bro you have to humble yourself man before the lord man you do come off as angry but there s a way to be right without degrading the other person,,there is a war on having a pair there is a war on family unity both manifest througout all media corporately produced entertainment esp that effing runt disney s company,just wait until i tell my fish friends about the weak spot in the barrier,you really should rapid fire debunk things in youtube shorts if you want people outside this circle to see this stuff there are a lot of people on youtube that will not even click this video based on the title alone i only did to post this comment tbh and i already like your content
631,too many soy boys in this world,,i quite like jbp but it s tiresome when he goes on about disney films,i don t understand his bird logic,it often feels as if these men are bitter and resentful towards women being able to express their emotions more freely and openly than men are my brother in christ other men decided this was the way things had to be not women isn t it usually the older generations of men that have passed these attitudes down from grandfather to father to son when women share these views isn t that often because the societal standards influence them just as much as men besides it s not even true that women are allowed to express themselves more freely anyway so often we are derided and belittled for being emotional and are dismissed because of it
632,1 time for my dawg shneako 0 time for them soiboys,,it really says a lot about where his heads at poor bloke,return to combat area,i really liked the little skits
633,0 35 he just rapped soo perfect,,this has become best you tube channel if you want to learn and be educated well done russell,what a load of carp,content warning this video has a jumpscare for sarahs
634,this dude lying about muslims tho we are no where near soy he s just a jew making us look bad,,attacking masculinity is not good for women not that long ago there was a series of articles with professional women lamenting the shortage of financially suitable male partners two things to unpack 1 that women still view men at least in part in terms of their earning providing capacity but also 2 how the idea to empower women became a zero sum game in practice college enrollments skew majority female today historically women have married at an equal or higher economic level whereas men have traditionally married at an equal or lower level that of course was before opportunities for women became more widespread fewer men in college means fewer at the equal higher economic level at least in a professional sense it is not often that a college educated woman marries an electrician carpenter welder or other tradesman who makes a nice living,this is awesome,the debate with the paying after a date yk i always just say the person who asked out the other person s should pay
635,i missed u,,psychometrics sounds like the prelude to psychohistory outlined in isaac asimovs foundations novels,if these carps are in the philippines this problem will be over in less than a week,no way you know about omerta theyre such a cool band
636,i fuck with u bro keep it up,,russel where did you guys get the idea that most people who watch youtube are male it may be true of dr petersons channel being 80 male viewers but overall i would assume it s near 50 50,ok maybe that was a slight exaggeration but it would still,i can t sleep with the woman i want to sleep with but i can marry her the math isn t mathing
637,god i hate people that hate me and think about it so much i m so cool,,i have always had a love for russell brand even when he was living somewhat off the rails my heart was always drawn toward him and i have such a love for jordan peterson i am praying for both these men to continue pursuing truth pursuing god promoting conversation and exchange comparison contrast of ideas they are both great thinkers and we are all benefitted by them sharpening each other as iron sharpens iron,very interesting,i love your sense of humor but i m so confused because i thought red pilling was something a conservative does to convince a person of a conservative idea none of these videos felt like a red pill lol
638,that dude with the big mustache his face aura pisses me off idk why,,jordan peterson tells a fib at the beginning easily disproved by a quick google search 56 of youtube viewers are male,even with the minor uncertainties and inconveniences around this it s still a good thing there s actual smort people working on the problem my solution would ve involved a lot more dynamite,this expression is also used in the manosphere by incels and adjacent the red pill is in general lines realizing that dating and relationships are a market dictated by oversimplified biological and societal concepts misinterpreted cherry picked and distorted by them
639,he literally has the same moustache as mario which is in your profile picture,,kermit the frog is back again yawn,what happens if there s a blackout,i m so glad i m 30 and past my prime because now i will never be approached by these cretins
640,not gonna lie i was asking myself this not too long ago i ve seen this occur especially in hollywood harry styles donald glover russell westbrook there is a pattern,,best to be the best of masculine and feminine why miss out,another video about my hometown,more manosphere videos i beg
641,nah donald still masculine,,you cannot build unity on lies as jesus said a house on sand is doomed,they the fish will eventually get through the answer is genetics,hold on i m lost in the title red pill is now something that talks relationship advice i thought it was politics left blue right red what did i miss here thanks for explaining in advance whoever does anwser
642,can t wait to see the second millie plaque in the background,,women watch youtube,human intervention causes harm ahhh how i wish corona was actually 100 lethal,black pill exists also how many pills does the world have these days i m european we don t do pills overhere
643,weed also gotta quit the weed weed produces estrogen hence why women get higher while smoking weed,,my biggest issue with peterson is his lionization of individualism,go to lake crescent and sorell in tasmania australia i think they re the only lakes in the world to successfully eradicate carp it took 20 years,for asking someone on a date whoever asks should generally pay or go 50 50
644,you have no point red pill this blue pill that maybe watch a movie beside the matrix just maybe,,i think that masculinity and femininity have been targeted by the elites in the same level of disdain which are terrible news for humanity,wait so the thing is super deadly to humans but a mere inconvenience or temporary knock out for the fish i don t understand my uneducated simple mind proposes a different plan interrupt the canal by closing a section and filling it with concrete have two canal wide boat ramps on either side and install a type of conveyer belt caterpillar tracks kind of like on army tanks get the whole thing working on solar or wind power and make it super resilient the army people are good at that then you can have barges being pulled out of the water and back in on the other side while the fish can t this could work on anything with a somewhat flat bottom or a fin that is removable sailboats kayaks and canoes would not be able to cross it but they can cross it by taking their vessel out of the water like they always do and they re not cargo carriers anyways engineer people tell me kindly why this would be an unattainable idea please,no tommy no jerry krgkadhsja i can t
645,the andrew tate in this one is strong strong indeed,,i love these guys,the rapidly pulsing electricity in the canal tends to cause problems for human hearts which are also incidentally pulsing and are of course much bigger than that of a fish s in comparative size,i love it tysm
646,9 23 that s definitely probably a joke,,i love russell and i m so glad i subscribed i m a conservative and i often don t agree with what he is saying but at least he can have a civil conversation that makes some sense to me oh and jordan he s fabulous brilliant,cut off a humans head they will die cut off a chickens head they will walk around for a couple of minutes cut a worm in half and there is a fair chance one half will live bacteria well they can live in just about any environment magic,the first guy saying girls can t be friends with other guys is bisexual erasure man needs to realize girls have game too
647,bro the hell why you changed so much you used to be chill back in the day but all i m thinking now is that watching another ishowspeed,,what ever happened to the marbarl man,unless someone delivers them there,oooh he got the drip on
648,you re the fucking man sneako keep it up bro,,it feels like women aren t allowed to act feminine these days as it is seen as being weak and childish you can still be independent and in charge of your own life without having to act tough all the time isn t it better to have a bit of both masculine and feminine traits the same with men i think guys with masculine traits are great but i also like guys who also have a vulnerable side,i always turn your videos down to 0 75 speed it keeps my heart rate down,men that complain this much about paying for some food dont understand division of labor nor do they value their dates time
649,honestly sneako spreads out so many lies while thinking he s being woke and he doesn t even realise it like everything he says when it comes to food and water is wrong also he s wrong about women in the sense that he falls victim to double standards just like andrew tate does,,what russell said about feminine being perverted struck me the first time i heard it in the full conversation and it still sounds like the absolute truth,it s only a matter of time before it fails to stop a carp or two,an antitrans steve crowder ad showed on this wtf
650,he literally just told you,,when does interesting insight into the human condition become pointless pretentious pontification i dunno,perhaps this is unrealistic but isnt there a something they can so about the craps like mass fishing nets or draining certain areas and gathering them idk,that is good they are wasting their ad budget on people who won t consume their crap
651,what do you think he s wrong about,,love jordan b peterson he is so wise i m one of the females who follows listens,and then some people gets really angry at me when i call humans are cancer go figure,i think the weirdo in the white shirt said you re not forthright his meaning being that if they sit down to eat dinner with someone who offered to buy them dinner they need to pay to avoid the man expecting sex because it s the woman s fault he expected sex for a meal lot of people have bought me lunch i wasn t aware i was being propositioned lol
652,the soying of huwhite men is an absolute epidemic and leads to the absolute most cringe cucked and sad men that i believe any of us have ever seen,,only he will deserve the name of man and can count upon anything prepared for him from above who has already acquired corresponding data for being able to preserve intact both the wolf and the sheep confided to his care george ivanovich gurdjieff,and yet we keep messing about with nature thinking we know what we are doing and can control it transplanting animals as an easy way to mitigate a problem like in this case and what happened in australia messing with the weather making it rain on command and so many more things people are a virus,i saw a meme how the left call everyone they disagree with incels haha quess its true
653,eh you unbanned,,i loved this i ve navigated between all sorts of different ideologies and couldn t ever quite find the answers i needed neutral discussions like these are so great for exploring new ideas i ve always had issues with the patriarchy but couldn t entirely support the misandrist attitude many feminist movements usually carry with them extreme femininity and total rejection of the masculine can also be detrimental to people s well being i know this first hand as an abuse survivor who grew up with a crazy borderline mother we need to learn to embrace the positive aspects of masculinity and feminity and reject the toxic ones there always needs to be a balance between these two energies in all of us as both can spiral out of control,why not just capture it and make delicious dish,incel vibes
654,can t stop laughing,,oh god same the feminist movement has great ideas of course but not only a lot of those who are part of it are misandrists also the movement has left out women of color and focused on white women for so long,european carp entered australia s outback waterways in the 1970s and devastated the native biota fish crayfish and most of the river vegetative species it took nearly fifty years for any sort of correction to take place leaving the whole system today completely corrupted,tik tok defintley brings out the worst in humanity
655,lol sneako turning into tate,,great to see peterson back and brand is evolving nicely,european common carp didn t enter australia people took them there same as they did in the usa as far back as the 1800s carp have been reared as food in europe for centuries and misguided businessmen thought breeding and selling them was an easy way to make money what they didn t take into account was that in warmer waters they spread like wildfire,banish the other person s friendships into the shadow realm bruhh
656,i m so glad his back,,masculinity in females is not what we need the feminist movement did that and now look at us female s need to go back to their femininity and males need to get back to their masculinity every gender has their part to play in life and both are equally important look at the animal kingdom they are not confused hell we are devolving,inaction of aus government they just don t give a 2 clocks about environment,msthew hussey isnt rp is he im going of thumbnail didnt watch the video
657,why are men becoming feminist simple no father,,i can see why men prefer him women want a seat at the table and to be part of the great universal myths too jordan just never invites them,tldr dangerous fish get tazed,you had me at strawberry elephant
658,sneako saying he s better than them is arrogant however these people he s arguing with are worse than scum like they are literally arguing to argue,,he s always omitting female roles in narratives i once heard him tell the story of horus and osiris and entirely omit isis s part from the tale little suspicious,if you said guess why you can t kayak from the gulf of mexico to the great lakes none of my guesses would be because of a deadly electric fish barrier,you got a new subscriber sir i had no choice but to subscribe after the tom jerry with the smoking cowboy tom after
659,soy has phytoestrogens are you a plant for it to affect you i m plant based and have been for 4 years i m conservative still having plenty of seggs making plenty of gains and living a happy life there is no evidence right now supporting the opinion that this causes a drop in testosterone it is all about intention with which you live and your mental emotional health if you wanna be a beast and a fucking savage you will do just that of course don t eat junk like mcdonalds and processed shit when men will accept that they are men they are competitive they need to conquest they need to workout and they want to fight we will all be much happier regular therapy won t help it was alternative therapy cold exposure breathing exercises along with reconnecting to nature that got me to be the beast that i am love what you do sneako go get them personally too loud for me to watch all the time but definitely we agree on most things,,everytime i hear anyone mention the divine feminine to jordan we quickly tumble into a dark place with the devouring terrible mother archetype,plenty of birds in the background all the time trying to get the floating fish brutal,minimum replacement birth rate 2 1 eu birth rate 1 53 canada birth rate 1 47 usa birth rate 1 70 russia birth rate 1 50 ukraine birth rate 1 23 australia birth rate 1 66 israel birth rate 3 00 israel education minister rafi peretz on intermarriage israel justice minister ayelet shaked on keeping the jewish majority even at the expense of human rights cnn joe biden im a zionist you don t have to be a jew to be a zionist angry foreigner joe biden it s a good thing that whites will be an absolute minority in the usa
660,if it doesn t cause a drop in test how come they all look like you,,i don t dislike jordan peterson but can he stop saying youtube is almost only used by men what i looked up showed 56 male and 44 female he s been using that line for years and it s always bothered me it s fine to have a mostly male audience but stop saying women aren t using youtube,100 murica xd,what are you rambling about
661,i mean the samurai were the epitome of masculine essence yet japan consumes the most soy of all countries all asian countries eat soy yet they produce the most driven and accomplished men and women,,masculinity is relevant because you get those men who are calm and collected but you also get those who are macho they are all men at the end of the day if the macho man knocks out the calm and collected then he owns them and cancels the calm ones out at the end of the day it s about who can knock out who in a bare darwinian sense any civil sense of pointing out the mature and sensible ones that are true men well that s a social construct that came with civility but there is also a side of pure animal and primeval of fists and egotism which was how kingdoms and domains were calved out in ancient times,hey trump supporters this is where all your lost votes are go for a quick dive to find them,_video about the red pill suddenly and mysteriously gets a _ _great replacement_ _ comment_ so your intent here was to make your community look worse i assume
662,copy and pasted,,but isn t the great bugaboo of all time is the feminine expression in men the mortal sin for boys is to show any qualities judged as feminine more condemned then the expression of masculinity in girls both are often punished but girls can play sports boys still cant play with dolls,wow that push boat is the epitome of world class naval architecture you can tell how much effort and passion went into her timeless refined design truly breathtaking and i consider myself blessed to have even just briefly witnessed such a poignant example of fine shipbuilding,my man noah dropin bombs in this video feminism should liberate all i agree
663,honestly sneako spreads out so many lies while thinking he s being woke and he doesn t even realise it like everything he says when it comes to food and water is wrong also he s wrong about women in the sense that he falls victim to double standards just like andrew tate does,,i love seeing both these men talking together i respect both men equally,ecosystem at all,i love your gen z memepower
664,it s also phone usage and microplastics that lower testosterone,,russell stop giving air time to this dog whistling pseudo intellectual,electric water yo lemme just throw my phone in there let it charge rq,me watching noah samsden new video fuck yes haha fuck yeah yes me when noah samsen video ends well this fucking sucks what the fuck
665,that would be correct staying on the phone a long time would take away from workout time but the phone it self would not,,man who suggests that women should be forced to have sex with incels to lower the number of mass shootings thinks that the reason his audience is primarily male is because he s on youtube lmao,americans and their complicated solutions why not just put nets,ahh thank u king 3
666,let s go baby,,i wasnt expecting this to turn into mainly a discussion about disney characters,flying carp fly barges do not any net high enough to prevent fish would surely be high enough to impede ships,wren is kinda some liberal shit products and services aren t gonna stop climate change
667,i told that soy boy with the mustache to come debate live but he made execuse t,,can you learn to be masculine,because murica,things that aren t products or services usually do not sponsor videos
668,it s the absence of religion mainly and the dilution of religion and culture countries can still maintain masculinity and tradition if they are irreligious as long as there is a strong unifying culture like in china china has its own problems on account of state enforced atheism but manliness is not one of them yet in the west people have been taught to hate themselves hate their ancestry reject all forms of tradition and have been pushed to the side by feminists who walk all over weak men those same weak men think obeying feminists will get them rewards either from women or from the state if you think america is bad take a look at western europe particularly northern europe absolutely disgusting level of effeminate men there they have 0 backbone 0 red blood nothing it s a disgrace men need something to fight for or defend if it isn t god then it must be a nation if you have neither it s over when men have nothing to fight for or defend they don t need to be warriors when men can be weak and thrive in a weak society they will stay weak go look at the map chart for europeans who would fight for their homeland there s a severe contrast between west who hates itself and east who is restoring traditional orthodox christianity and slavic culture it s sad,,i m glad you are starting a tribe russell no one else is stepping up i m a woman who has been in support of what jp has been saying for a few years now i ve also noticed the importance of supporting men young men and masculinity this enables women to be more feminine also re your comment about the neglected feminine and females used for advertising i heard that men operate on a more visual level and therefore if masculinity operates more on the visual level then this is a reason why using females in advertising appeals to both sexes if we have both masculine and feminine within,ok ok yt recommended i relent i ll watch jees,broo the animals as fruits with arabic text caught me so off guard
669,guys eat sweet potatoes for the dicc gains,,can t believe y all didn t mention water boy,the thing i find funniest about the situation is that they are nearly extinct in their natural habitat westerners find them disgusting but like everything else they re considered a delicacy in china so they have been overfished they are now buying them from the us,cucked and bluepilled
670,bro was really talking his shit wneako,,the population is easier to control by the elites if the men are all gender fluid effeminate pansies hence the bombardment of social conditioning,a lot of coulds in this and a lot of money going into stopping carp migration when all it takes is one guy that hates everything going on to box them up and just move them over,the objectively correct answer to who pays for the date is whichever person first proposed the date there is literally no other acceptable answer
671,sneako the goat w or l in the comments,,good jordon halts up his point,i live off lake heron and can say the great lakes defiantly have carp,7 37 well no because when people tell hurt men to go to therapy what they really mean is you re weak your emotions aren t valid i m mocking you you re pathetic it s what we call a quadruple entendre i mean seriously do you really think that on the left the same left that will relentlessly bully you on twitter over fucking neo pronouns really gives a shit if we go to therapy or not
672,never in a million years would i thought i d see sneako reacting to paul joseph watson lol,,might be a fluke as i propagate assigned partners because some boys can t get laid,i wasn t watching with my eyes but i was expecting the guy explaining the system to be in ocp s,um you ll probably not read this since i am two weeks late to this comment but i am someone studying to be a psychologist and i literally say that to everyone when i see that they might need guidance to work through their issues the fact that you think that me saying that is invalidating your feeling and calling you pathetic shows me your opinion on therapy i think its a powerful thing to go to therapy it takes a lot to actively work on yourself sometimes you alone is not enough and thats okay i just want you to know that there are people out there who say statements like go to therapy because they genuinely want you to heal and work through what hurts you i won t lie to you that there are many communication barriers in society today and it sucks but i have some advice for you if someone says this to you and you think they might be invalidating you say that to them and ask them to clarify to you if that is not their intent therapy is an amazing resource especially when you find the right therapist for you which might take time but who said working on yourself is easy i just want you to know too that your feelings are valid and therefore you should be open to expressing them in order to understand the intent of a person i get taught this a bunch in school about the importance of separating intent vs impact because you might not intend to cause harm when you say something but that doesn t take away from the fact that the things you said hurt someone else i can talk about the problems with communication for hours but yeah i just felt like saying my piece i hope one day therapy can help you as much as it has helped me which is why i went on this rant if you got to this point thanks for tuning into my ted talk
673,i m so embarrassed that i watch the try guys,,when mind is inside body russell brand,if 95 of the biomass in that water why not just electrocute the fish,this is sad watching a bunch of men with no experience with women talking about the one thing they can t understand honestly these men must have been hurt pretty freaking deeply to have this pathetic worldview
674,brav is testosterone levels at such risk now i wanna know my levels,,technology has changed our societies so much we re leaving our instincts behind and then need intellectuals to make sense of the consequences,why don t they add lock gates also it would make the ships go slower they can run higher voltages and when the fish and stunned they take the carp out and supply the restaurants,i usually don t comment because social interaction fucks with my anxiety but let me tell you when i heard you yell fuck you sarah i died of laughter because that is my name and i was not prepared to have you call me out
675,i stand by alotta things sneako says but do not drink tiddy milk i made that mistake at a friends house not talking about it,,jordan is the archetype of the devouring father,they don t add lock gates because there are lock gates in all the places were one might want to put lock gates,there is r menslib
676,please talk about it not judging what happened,,then why don t we talk about femininity being in both men and women,he reminds me of connor o malley,breadpilling the redpilled quoting books that i read pilled
677,does it taste yummy,,that s haram for peterson,great work bro you explain the whole things very clearly thanks for sharing with us,these guys act like high quality women would even want them they all seem to want women with highly traditional religious values yet i cant imagine that any of these women would be interested in fools like this especially when these lads brag about their body counts all my religious girlfriends say they want a pure husband lmao
678,noah samsen is giga incel status,,jordan is a canadian embarrassment,anyone wanna go for a swim,i m not even religious more traditional though and that s what i wanted
679,yo shneako u gotta drop the first day out freestyle,,masculinity had to be disempowered the alpha had to be marginalised so that an age of sheepish compliance could ensue,why is no one else talking about how wrong he said algae it s al gee,this is so common in my culture men with heaps of past relationships wanting to settle down for a pure woman who hasn t been with anyone before
680,you gotta just not talk about these people,,excuse me women far from need any form of masculinity tho if you re talking about fighting combat etc that all comes under the feminine,he is british so he uses the british pronunciation,my religion requires both men and women to be pious and not having relationship before marriage so if my husband wants me to be pure i too would definitely want him to be pure too
681,bro get some new content it gets old and boring,,this was great to revisit i can t wait for these two to do another podcast together,how did you the ad the well i guess thats a tom scott video for ya,shouldn t he be waiting for marriage if his hypothetical spouse is also waiting
682,found you through nick fuentes good content,,how did a discussion about masculinity end up discussing the devouring mother myth it has been easy to blame beleaguered mothers when fathers have largely been absent due to the imperative to fulfil their largely constructed by establishment manipulation societal masculine functions such as cannon fodder wage slavery and striving to become the alpha male within the malthusian social darwinian landscape that is the neo liberal economic horror show we inhabit we are animals that are mammals first human beings homo sapiens second and male female or somewhere on the continuum thirdly we are a part of our environment not apart from our environment that is what needs to be learnt by the hyper masculine structures we are forced to live under competition domination the cult of the narcissist are all manifestations of the priorities of a world out of balance and the danger of being out of balance is there will be a fall that will affect all,great plot for a horror movie,i am deeply religious and yes a pious man is preferred you re correct
683,because they cant be masculine but they want to be somehow so they turn ridiculous,,i love russell i really respect peterson,and they say they are saving ecosystem,tell me why the first dude sounds like lina lamont
684,l taking wifes last name,,true masculinity is a good thing men devoid of it become weak and therefore toxic spiteful and abusive,shut it down southern illinois dont care about chicago,i met my wife in high school i kept telling her how much of an insecure loser i thought i was she said it didn t matter still loved me we ve been married for 14 years and going strong it s ok to talk about insecurities with the right partner i promise
685,bro i like and unlike then like again on your videos lately,,could listen to these 2 for days,closet full of red shirts ok mark zuckerburg,yep just like when it s right getting to know someone you like who likes you back is super fucking easy none of these mind games or superficialities
686,long live the legend that is shneako,,i honestly think demonizing men or women is stupid the honest truth is thoughtful people in general are hard to find and most people are running around with some version of ptsd whether they know it or not,uhhhhh i live in kenosha wi fish michigan often there are definitely carp in there i catch too many,that s only if you have already build up a solid foundation though i don t think it s attractive to already talk about insecurities when you just met someone
687,yesss your back,,thanks for posting this and the link to the full interview fascinating discussion covering a lot of ground given that it goes back a few years i wonder whether dr peterson s position on the spiritual has moved closer to yours after his own recent experiences,there s native carp but the invasive carp is different,i also knew my husband in highschool but we didn t date until college we started off as good friends and built a strong foundation of trust before we finally pursued each other romantically he is especially in touch with his emotions and has never been afraid to share them with me we dated for 8 months before agreeing to marry and we ve been inseparable ever since i think more men just need to be more honest and willing to share their emotions to form deeper relationships too many people are looking for quick hookups now which almost always ends in dissapointment true love takes time and effort
688,i never consumed soy in my teenage years and my friend as well and we still have gyno,,the majority of us are so incredibly fortunate to be at a time in civilization that meaning can be found in conversations such as this,i sometimes wondered how bull sharks who have swam up as far as alton il in the mississippi river didn t continue into the illinois river and make it to the great lakes now i know one reason,finding that right partner is very difficult you were incredibly lucky to find them in high school
689,but that s impossible just about every processed food you eat has soy in it no matter what,,holly crap almost everyone who watched utube are male when in early 90 perhaps total crap,i am a bull shark and i disagree i currently live in lake ontario i would tell you my story of how i got here but it is hard to type with fins,no one is dating in high school anymore and people change overtime and become more transactional
690,shneako watching u is like watching myself sometimes ty for being authentic,,7 10 are we getting canceled over that,from that time jesus began to preach and to say repent for the kingdom of heaven is at hand matthew 4 17 ye have heard that it hath been said an eye for an eye and a tooth for a tooth but i say unto you that ye resist not evil but whosoever shall smite thee on thy right cheek turn to him the other also matthew 5 38 39,cringe is when woman exist ayo these misogynists kinda based maybe they should stop existing as well
691,only a few of us left brother,,to many masonic signs on show,amazing work love the words from the engineer,the fruit animals im dying
692,i was suggested a nickisnotgreen video once before shneako was a thing i watched it for 10 seconds got bored went back and pressed that not interested button,,i don t feel like i m overprotecting my children but i was certainly neglected in too many ways i see the effect that s had on me and my siblings it feels like the worst possible outcome,what about a net,the healthy bois rant is unironically a decent recitation of kant s categorical imperative
693,keep doing you bro i disagree with shit you say but your more entertaining then people telling me how to think about others,,jordan peterson the man who has an opinion on absolutely everything oddly has no opinion on the plandenic or the death jab in fact he has been largely missing in action my conclusion he is a giant fraud,sheldon reservoirin texas had a carp problem a bounty was offered by the pound,that first guy that keeps popping up sounds so insecure and so stupid he is so easy to see right through it s sad truly he also seems like he has the intellectual capacity emotional maturity of an 8 yr old
694,yeah fuck echo chambers lol i m vegan and eat soy all the time and my t levels are high af it s just the lifestyle that matters more than anything else i disagree with most of what sneako says but like you said he s entertaining af,,i still seriously dislike peterson,wonder if they will adapt to the electricity there are electric eels,matthew husey is not red pill
695,same bro i disagree with him in a lot of spaces but holy shit do i love how honest he is,,i m happy to be one of the yt women watched him since 2016,i just don t understand why in china it cost very expensive but here they don t want it,how far back do these guys have to hold their head to force those stupid ideas out of their mouth even the first guy talks so you can see up his nose
696,i disagree with a couple of his point every now and again but he is still one of the most authentic youtubers rn,,this was a great convo i got a lot from this,why don t we invite the chinese fish companies to net these carbs out make them no tax and free tariff,get over it feminist
697,link to that college girl pls,,feminity is the biggest problem at the moment overly emotional men feeling everything completely detached from themselves,isn t dc voltage that pulses just ac voltage at a lower hz,liberal destroyed
698,just drink almond milk honestly cow milk had estrogen as well,,russels selling you all down a river or in it like the pied piper beware wolf in sheep s clothing,just tell everyone that carp are edible and good for cat food and the carp would be cleaned out in a jiffy from over fishing,great comeback bro you totally destroyed that liberal
699,that dude is he is a bit of a soy boy debunks the manosphere etc,,two intellectual giants,so to solve world hunger we need a carp recipe,is the music from bomberman sorrry super distracted go off mister
700,did you just call aba and preach soy boys take that back right now,,please investigate us filing on gov w blower affidavit swearing with evidence that 45k died within days of that which shall not be named,a california lake had a problem with the northern pike being an invasive species fish and game poisoned the entire lake imagine the smell of every fish in the lake coming to the surface dead but most of them were pikes,i don t want men to pay for anything because it makes me feel like i m being pressured into fucking them if i say no
701,i m subscribed to both they are kinda soy boyish have you heard of the story of aba jumping into the bushes,,peterson dont over protect your children don t help them as much as possible daddy can you get me on joe rogan no problem,how 2 3v can be dangerous to a person i mean a car has 12v and unless you put two wires to your mouth it will not harm you,man i remember when in an ice cream parlor there was a couple ahead of us in line and the woman paid for both ice creams and the woman who attended like congratulated her saying that we had to remove that idea that men had to pay for everything and it was turn of women to invite stuff too or something along the lines
702,pjw is a king i really recommend everyone watch him to see the bs in the world happening around us,,i love seeing you guys bounce off each other mesmerising,this was fascinating o,women will marry who they can and men will marry who they want so is the implication here that when the men marry who they want the woman they re marrying don t want them
703,the only thing he is the king of is the closet,,everything disney does is about an sjw fempowerment narrative they certainly aren t above producing a deliberate pre planned flop if it serves to reinforce these narratives in future movies for disney there is only one sex,so this human interaction we ll see the damage from in 20 50 years i assume,another banger keep coming for him sponsors we need more noah 3
704,and super anti immigration and a racist he s like the straight slightly politically correct milo yiannopoulos,,russel is one of the few individuals that is bridging the gap between people that the culture war has destroyed good work,these fish will soon find away to breach this check point,for the algorithm love your work my dude
705,welcome back the bro that i dont know,,men don t need guidance but we seem to be constantly bombarded with thie idea that we really really really do from those who aren t men the neglected feminine also expresses itself in other ways for example being rubbish at parking a car inverse punctuality gossiping whinging femsplaining and the inability to see humour in stupid youtube comments,i don t see they can t build another electric fence 5 miles up river kill off everything in that 5 mile stretch restock it with native fish and then do the next 5 mile stretch,you gotta do the pink pill now for equality
706,i love how he listened to the brooklyn wine mom and moved the sneako light w,,fairy godmother it s up to you to get back before midnight cinderella placing the responsibility on the child,0 02 fishy jumping for freedom,the chill lofi christian music playing behind the guy saying you care too much about the b tch is really the icing on the cake for me
707,what s up with muslim refugees,,let him talk,like some type of fresh water sea bass just be happy they didn t release easter eggs into the water,despite my disagreement with the red pill community many of their statements are valid only when in contact with toxic females and the strategies that they present are usually use for men who have little to no experience with women or have a very negative response where they have a high experience with negative females the community perpetuates stigma which leads men to actually openly seek out the women that they complain about because they seem more genuine in the same way women choose to guys who are assholes because they have a perceived notion in their head that most men are assholes but they re just hiding it both sides are hurt
708,outside today 2 ft nba youngboy,,yeah i always feel that about the trinity i can t seem to stabilise it is the holy spirit neutral as conventionally claimed or a feminine energy analogous to the shekinah but then how can mary be impregnated by a female energy are we going to have to wait for jesus s return in female form to balance the equation i speak as a confused christian feminist who often thinks they will vomit if they hear about god the father one more time let alone repeat it through gritted teeth and anyway any creator worthy of the name surely should never be anthropomorphised in this way tho i sorta like the image of mary as queen of heaven which means she must have a male counterpart but then i m back to the male sky god thing also she has a counterpart in buddhism guanyin or kuanyin or kanon depending on where you are and she s based on the hermaphroditic buddhist hindu avalokitesvra the compassionate buddha,all good until the looming power cuts hit,men i hate it when women give up sex so freely also men goes to a strip club men sex workers are awful people who should be ashamed of themselves also men logs on to the hub 10 seconds later i really don t understand how they can be so contradictory they literally support the women they supposedly have problems with they re like if someone said i don t like it when people do drugs and then goes out on a street corner to sell crack they re literally the source of their own problems strip clubs brothels sex work phub would not exist if it weren t for men and their lust but no its all women s fault
